,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
passing_air_yards,-0.10866969396987092,0.13332508657479514,0.050071323289193934,0.004177738814222046,0.028424759110205262,-0.10368434220722972,0.008173016459078837,-0.04958471835470005,0.007013338469330133,-0.031164313950255828,-0.04767192204045022,-0.01911559850757046,0.009587059189429752,0.1332805531946188,-0.09846059412854996,-0.05933986756595707,0.16991199941874807,-0.11641956703656815,0.0203187027277754,-0.03459630669942531,-0.12142133351821076,0.043546658758639785,-0.11914811836383644,-0.11442033381567716,0.09715039131806473,-0.12069457696411735,-0.17606200634408847,0.03938960342655112,-0.05979787343799338,0.0018613275320674175
passing_yards_after_catch,-0.10735745173196214,0.1337842514309087,0.05034910273090512,0.004422565021600291,0.030378058434161043,-0.1354359903176614,0.00738571991216955,-0.05022851461702739,0.004556012129907483,-0.035627685829896685,-0.05150826235393664,-0.02091273740501286,0.012266741302568274,0.13661998619278418,-0.09165342848085356,-0.06062124049956379,0.15657354783023095,-0.11721729753801274,0.022984634770194457,-0.009636325516449478,-0.1233446219888602,0.04825496602584869,-0.11612109449597381,-0.09751386733182436,0.08485622493875533,-0.10641337338998683,-0.14651114811959884,0.0459267854078243,-0.06283975083330288,0.027160667310915654
passing_first_downs,-0.12142245505749139,0.14440579786813545,0.051080918480610395,0.004539948903917081,0.002028343824401494,-0.08889494439414504,0.013568417598403232,0.05219429865815373,-0.023959962794544917,0.017228648508279362,0.0413802082285545,0.013116926325755934,-0.015605659853056984,-0.053691009274570364,-0.08042018743886485,-0.01784363780298906,0.0085149331452603,0.014291040556890431,0.012061766403233582,-0.07058684347464754,0.030406432905951304,-0.014067176577951484,0.011719112066944494,-0.03786943486078396,0.015377417006930669,-0.0033245254474328655,0.0038939811711255,-0.011712838979317788,0.004252148113940908,-0.028624060467729376
passing_epa,-0.03865395455817967,0.07352910400930922,0.012444506023379522,0.013786566368054233,0.010256261081198304,-0.43007669387649466,-0.0009241059180156051,0.0792684408549864,-0.06484646280331934,-0.01053071689445859,0.0397968790750016,0.00835238795648285,0.033632551143490896,-0.02724654082467364,0.09029718031883097,-0.05488922129130684,-0.1734023744897215,0.11266711072148841,-0.006744351181922698,0.18606618993925025,-0.030529006983076055,0.013127067617501141,0.009943817706269868,0.12071622198876951,-0.04084691935074828,-0.24079501318797408,0.1110954771802564,0.035505723157505546,-0.12208826242511531,0.11997969919144764
passing_2pt_conversions,-0.071952223609195,0.08911621190701899,0.030863997974706882,0.004488808054599524,0.011363702868653933,-0.06200728555147138,0.008795567972126635,-0.00472339106909904,0.010712950884712986,0.013736741047838022,-0.0009348867536411831,0.014403888027900321,-0.009537434941892242,-0.05684335840024035,-0.003587217838821308,0.618680465137183,0.05911119366439236,-0.16110895945253265,0.06319296216448457,-0.02396002942284547,-0.02572665845219447,0.008598917672657991,-0.038241190075911424,-0.007625763377905112,0.018883851552713025,-0.05183868608341373,0.010239808544049026,-0.001029298318494641,-0.03297015833667363,0.017788832893492108
pacr,-0.10763801913521885,0.1275885257360372,0.050567698124631445,-0.0007353556667822105,0.034546707622585555,-0.11194674877249508,0.003032134660732907,-0.06773246902142607,0.0047221483374253964,-0.045027714624104036,-0.06973057091498412,-0.026095517665576128,0.022788779660778306,0.17301593712585384,-0.07307240839603037,-0.07062077599355153,0.17265061523821196,-0.12745814537805342,0.0325435667866858,0.012199625903115484,-0.16699128039552577,0.07559947994461128,-0.1479387343429706,-0.00043218458902286966,0.02825398162731692,0.058761220771498694,-0.018201100000910145,0.004581918314054073,0.005452884215512442,-0.006144103002194733
dakota,-0.11139395958576385,0.13711862217652937,0.043865197918468775,0.0077299129779318625,0.003251289997729931,-0.18850383981055926,0.00933169137914901,0.06426983173235867,-0.033333943333065094,0.013854910319549081,0.04612633341208231,0.012141216572355652,-0.003360418679489247,-0.069673179948469,-0.02335098366372553,-0.03706597994961782,-0.048601719526548265,0.07002541062880854,0.012554241064987327,0.017264885077235986,-0.006821041551766393,-0.02031921950480438,0.01599831310270267,0.03371695191084228,-0.02424843298336217,-0.019730664101673363,0.06353918014883135,0.018083528622697995,-0.01914788537415198,0.03612454534397061
carries,-0.01675706213878677,0.03754576224255546,-0.2836299805242282,0.0786566024892886,0.042945730794288824,0.001016724778403638,-0.007297626172387401,-0.0016553518241710912,-0.006968738188566869,-0.003694240751678821,-0.021742678459218776,-0.01465004294856835,-0.03205210953679671,-0.055379592774511696,-0.025548470367660458,-0.031116841446770408,0.04021617900302614,-0.10374033137137885,0.024147756552655924,0.02024594347808348,0.07557479340585586,0.1369942536871869,0.0027721658962609214,0.05382744576442456,-0.02252471602559252,-0.025582342266944884,0.06951350910517606,0.04508932745787112,-0.06865412809991518,0.06942935796896917
rushing_yards,-0.014149061095342802,0.04043406805870613,-0.28263569202611444,0.08040694079412741,0.04509780672725764,0.005404628854199212,-0.011406270444731463,-0.024386269477355862,0.020334356971326694,0.009403075719934546,-0.022785185842013615,-0.01161491074697549,-0.02708128892826665,-0.06896741380812293,-0.013129450291525426,-0.023922521782572773,0.07866449117718667,-0.05416351525861286,0.03726912097855497,0.005319908490897895,0.018622792152878473,0.05789770599518111,0.0038762925135061256,0.07555544800179896,-0.04125099271155247,-0.017177793459238724,0.06930276669277277,0.058754810402320244,-0.07552917414389924,0.0918045164517588
rushing_tds,-0.019883994050582093,0.04756479216298311,-0.25383903337263214,0.07871643027826375,0.04709995301077544,-0.015578995202102193,-0.025066079643321824,-0.06389068155454966,0.06487602719400344,0.02307744037335737,-0.02038541614260329,-0.010969800407102225,-0.028757655710531554,-0.1157859228483725,0.05808861557190701,-0.02176165805014249,0.15759146521032893,0.04194138841833701,0.09374291879207593,0.0033925508667666986,-0.07727533012265789,-0.09145058853826651,0.03476123515585054,0.10997906298147654,-0.021994798901002397,-0.1190276626703223,0.04318152502162945,-0.16467743247770078,0.16939915896634145,-0.11196313732406275
